t,UAB0,UAB1,UAB2
3.45,100.09,1.0009,0.99962
3.455,100.09,1.0009,0.99962
3.46,100.08,1.0008,0.99952
3.465,100.09,1.0009,0.99962
3.47,100.08,1.0008,0.99952
3.475,100.09,1.0009,0.99962
3.48,100.08,1.0008,0.99952
3.485,100.09,1.0009,0.99962
3.49,100.09,1.0009,0.99962
3.495,100.09,1.0009,0.99962
3.5,100.09,1.0009,0.99962
3.505,100.09,1.0009,0.99962
3.51,100.09,1.0009,0.99962
3.515,100.09,1.0009,0.99962
3.52,100.09,1.0009,0.99962
3.525,100.08,1.0008,0.99952
3.53,100.08,1.0008,0.99952
3.535,100.08,1.0008,0.99952
3.54,100.08,1.0008,0.99952
3.545,100.08,1.0008,0.99952
3.55,100.07,1.0007,0.99942
3.555,100.08,1.0008,0.99952
3.56,100.08,1.0008,0.99952
3.565,100.08,1.0008,0.99952
3.57,100.08,1.0008,0.99952
3.575,100.08,1.0008,0.99952
3.58,100.08,1.0008,0.99952
3.585,100.08,1.0008,0.99952
3.59,100.08,1.0008,0.99952
3.595,100.08,1.0008,0.99952
3.6,100.08,1.0008,0.99952
3.605,100.08,1.0008,0.99952
3.61,100.07,1.0007,0.99942
3.615,100.07,1.0007,0.99942
3.62,100.07,1.0007,0.99942
3.625,100.07,1.0007,0.99942
3.63,100.07,1.0007,0.99942
3.635,100.08,1.0008,0.99952
3.64,100.08,1.0008,0.99952
3.645,100.08,1.0008,0.99952
3.65,100.08,1.0008,0.99952
3.655,100.08,1.0008,0.99952
3.66,100.08,1.0008,0.99952
3.665,100.08,1.0008,0.99952
3.67,100.07,1.0007,0.99942
3.675,100.07,1.0007,0.99942
3.68,100.07,1.0007,0.99942
3.685,100.07,1.0007,0.99942
3.69,100.07,1.0007,0.99942
3.695,100.07,1.0007,0.99942
3.7,100.07,1.0007,0.99942
3.705,100.07,1.0007,0.99942
3.71,100.07,1.0007,0.99942
3.715,100.07,1.0007,0.99942
3.72,100.07,1.0007,0.99942
3.725,100.07,1.0007,0.99942
3.73,100.07,1.0007,0.99942
3.735,100.07,1.0007,0.99942
3.74,100.07,1.0007,0.99942
3.745,100.07,1.0007,0.99942
3.75,100.07,1.0007,0.99942
3.755,100.07,1.0007,0.99942
3.76,100.07,1.0007,0.99942
3.765,100.07,1.0007,0.99942
3.77,100.07,1.0007,0.99942
3.775,100.07,1.0007,0.99942
3.78,100.07,1.0007,0.99942
3.785,100.07,1.0007,0.99942
3.79,100.07,1.0007,0.99942
3.795,100.07,1.0007,0.99942
3.8,100.07,1.0007,0.99942
3.805,100.07,1.0007,0.99942
3.81,100.07,1.0007,0.99942
3.815,100.07,1.0007,0.99942
3.82,100.07,1.0007,0.99942
3.825,100.07,1.0007,0.99942
3.83,100.07,1.0007,0.99942
3.835,100.07,1.0007,0.99942
3.84,100.07,1.0007,0.99942
3.845,100.07,1.0007,0.99942
3.85,100.06,1.0006,0.99932
3.855,100.06,1.0006,0.99932
3.86,100.06,1.0006,0.99932
3.865,100.06,1.0006,0.99932
3.87,100.06,1.0006,0.99932
3.875,100.06,1.0006,0.99932
3.88,100.06,1.0006,0.99932
3.885,100.06,1.0006,0.99932
