t,UABreal,UFD,IFD,UAB
2.47,99.982,112.73,1027.8,0.99982
2.475,99.99,112.75,1029.4,0.9999
2.48,99.98,112.58,1031.4,0.9998
2.485,99.986,112.71,1033.6,0.99986
2.49,99.974,112.63,1032.1,0.99974
2.495,99.98,112.75,1033,0.9998
2.5,99.974,112.68,1032.6,0.99974
2.505,99.982,112.68,1031,0.99982
2.51,99.975,112.41,1031.4,0.99975
2.515,99.982,112.56,1031.1,0.99982
2.52,99.971,112.39,1028.4,0.99971
2.525,99.978,112.5,1026.8,0.99978
2.53,99.975,112.49,1028.9,0.99975
2.535,99.984,112.42,1026.6,0.99984
2.54,99.972,112.31,1026.6,0.99972
2.545,99.98,112.4,1026.6,0.9998
2.55,99.968,112.44,1026.3,0.99968
2.555,99.976,112.64,1026.9,0.99976
2.56,99.976,112.73,1026.9,0.99976
2.565,99.984,112.87,1029,0.99984
2.57,99.968,112.63,1028.4,0.99968
2.575,99.976,112.78,1029.6,0.99976
2.58,99.966,112.47,1032.2,0.99966
2.585,99.974,112.55,1033.2,0.99974
2.59,99.969,112.42,1031.4,0.99969
2.595,99.978,112.5,1032.1,0.99978
2.6,99.967,112.47,1031.7,0.99967
2.605,99.975,112.69,1031,0.99975
2.61,99.97,112.5,1031.6,0.9997
2.615,99.979,112.65,1031.2,0.99979
2.62,99.976,112.56,1029.2,0.99976
2.625,99.984,112.65,1027.3,0.99984
2.63,99.98,112.82,1028.1,0.9998
2.635,99.989,112.89,1026.1,0.99989
2.64,99.989,112.84,1026,0.99989
2.645,99.999,112.95,1025.3,0.99999
2.65,99.998,112.7,1025.3,0.99998
2.655,100,112.77,1026.1,1
2.66,100,112.3,1028.3,1
2.665,100.01,112.27,1031.6,1.0001
2.67,100.01,112.02,1031.5,1.0001
2.675,100.02,111.95,1033.1,1.0002
2.68,100.01,112.18,1033.2,1.0001
2.685,100.02,112.44,1033.3,1.0002
2.69,100.02,112.57,1031.4,1.0002
2.695,100.03,112.67,1030.6,1.0003
2.7,100.02,112.36,1030.5,1.0002
2.705,100.03,112.27,1027.5,1.0003
2.71,100.03,111.83,1029.8,1.0003
2.715,100.04,112.16,1029.8,1.0004
2.72,100.03,112.06,1027.3,1.0003
2.725,100.04,112.18,1026.8,1.0004
2.73,100.04,112.09,1026.1,1.0004
2.735,100.05,112.23,1024.3,1.0005
2.74,100.05,112.12,1024.4,1.0005
2.745,100.06,112.35,1025.1,1.0006
2.75,100.05,112.37,1025.1,1.0005
2.755,100.06,112.3,1026.8,1.0006
2.76,100.06,112.03,1029.1,1.0006
2.765,100.07,112.17,1031,1.0007
