t,UAB,UFD(V),IFD(A)
0.02938,0.956,162.964,532.26
0.02945,0.956,163.574,532.26
0.02953,0.956,163.574,532.26
0.02961,0.956,164.185,532.26
0.02969,0.956,164.795,532.26
0.02977,0.956,164.795,532.26
0.02984,0.956,164.795,532.26
0.02992,0.956,165.405,532.26
0.03,0.956,165.405,532.26
0.03008,0.956,165.405,532.26
0.03016,0.956,166.016,532.26
0.03023,0.956,166.016,532.26
0.03031,0.956,166.016,532.26
0.03039,0.956,166.016,533.481
0.03047,0.956,166.016,532.26
0.03055,0.956,166.016,532.26
0.03063,0.956,166.016,533.481
0.0307,0.956,166.016,533.481
0.03078,0.956,165.405,532.26
0.03086,0.956,165.405,532.26
0.03094,0.956,165.405,533.481
0.03102,0.956,164.795,533.481
0.03109,0.956,164.795,532.26
0.03117,0.956,164.185,532.26
0.03125,0.956,163.574,533.481
0.03133,0.956,163.574,533.481
0.03141,0.956,162.964,533.481
0.03148,0.956,162.354,533.481
0.03156,0.955,161.743,532.26
0.03164,0.955,161.743,532.26
0.03172,0.955,161.133,533.481
0.0318,0.955,161.133,532.26
0.03188,0.955,161.133,532.26
0.03195,0.955,161.133,532.26
0.03203,0.955,161.133,532.26
0.03211,0.955,161.133,532.26
0.03219,0.955,161.133,532.26
0.03227,0.955,161.133,532.26
0.03234,0.955,161.743,532.26
0.03242,0.955,161.743,533.481
0.0325,0.955,162.354,533.481
0.03258,0.955,162.354,533.481
0.03266,0.955,162.964,532.26
0.03273,0.955,163.574,532.26
0.03281,0.955,163.574,532.26
0.03289,0.955,163.574,533.481
0.03297,0.955,164.185,532.26
0.03305,0.955,164.795,533.481
0.03313,0.955,164.795,532.26
0.0332,0.955,164.795,532.26
0.03328,0.955,165.405,532.26
0.03336,0.955,165.405,532.26
0.03344,0.955,165.405,532.26
0.03352,0.955,165.405,533.481
0.03359,0.955,165.405,532.26
0.03367,0.955,166.016,533.481
0.03375,0.955,166.016,532.26
0.03383,0.955,166.016,532.26
0.03391,0.955,166.016,532.26
0.03398,0.955,165.405,533.481
0.03406,0.955,165.405,532.26
0.03414,0.955,165.405,532.26
0.03422,0.955,165.405,533.481
0.0343,0.955,164.795,532.26
0.03438,0.955,164.795,533.481
0.03445,0.955,164.185,532.26
0.03453,0.955,164.185,532.26
0.03461,0.955,163.574,532.26
0.03469,0.955,162.964,532.26
0.03477,0.955,162.354,533.481
0.03484,0.955,162.354,533.481
0.03492,0.955,161.743,532.26
0.035,0.955,161.133,533.481
0.03508,0.955,161.133,532.26
0.03516,0.955,161.133,532.26
0.03523,0.955,161.133,532.26
0.03531,0.955,161.133,532.26
0.03539,0.955,161.133,532.26
0.03547,0.955,161.133,532.26
0.03555,0.955,161.133,532.26
0.03563,0.956,161.133,533.481
0.0357,0.956,161.743,532.26
0.03578,0.956,161.743,532.26
0.03586,0.956,162.354,532.26
0.03594,0.956,162.354,532.26
0.03602,0.956,162.964,532.26
0.03609,0.956,162.964,532.26
0.03617,0.956,163.574,532.26
0.03625,0.956,163.574,532.26
0.03633,0.956,164.185,532.26
0.03641,0.956,164.185,532.26
0.03648,0.956,164.795,532.26
0.03656,0.956,164.795,532.26
0.03664,0.956,164.795,532.26
0.03672,0.956,165.405,532.26
0.0368,0.956,165.405,532.26
0.03688,0.956,165.405,532.26
0.03695,0.956,165.405,532.26
0.03703,0.956,165.405,533.481
0.03711,0.956,166.016,532.26
0.03719,0.956,165.405,532.26
0.03727,0.956,166.016,532.26
0.03734,0.956,165.405,532.26
0.03742,0.956,165.405,532.26
0.0375,0.956,165.405,532.26
0.03758,0.956,165.405,532.26
0.03766,0.956,164.795,532.26
0.03773,0.956,164.795,532.26
0.03781,0.956,164.185,533.481
0.03789,0.956,163.574,532.26
0.03797,0.956,163.574,532.26
0.03805,0.956,162.964,533.481
0.03813,0.956,162.354,532.26
0.0382,0.956,161.743,532.26
0.03828,0.956,161.743,532.26
0.03836,0.956,161.133,532.26
0.03844,0.956,161.133,532.26
0.03852,0.956,160.523,532.26
0.03859,0.957,160.523,532.26
0.03867,0.957,160.523,532.26
0.03875,0.956,161.133,532.26
0.03883,0.956,161.133,532.26
0.03891,0.956,161.133,532.26
0.03898,0.956,161.133,532.26
0.03906,0.956,161.743,532.26
0.03914,0.956,161.743,532.26
0.03922,0.956,162.354,532.26
0.0393,0.956,162.354,532.26
0.03938,0.956,162.964,532.26
0.03945,0.956,163.574,532.26
0.03953,0.956,163.574,532.26
0.03961,0.956,163.574,532.26
0.03969,0.956,164.185,532.26
0.03977,0.956,164.185,532.26
0.03984,0.956,164.795,532.26
0.03992,0.956,164.795,532.26
0.04,0.956,165.405,532.26
0.04008,0.956,165.405,532.26
0.04016,0.956,165.405,532.26
0.04023,0.956,166.016,532.26
0.04031,0.956,166.016,532.26
0.04039,0.956,166.016,532.26
0.04047,0.956,166.016,532.26
0.04055,0.956,166.016,532.26
0.04063,0.956,166.016,532.26
0.0407,0.956,165.405,532.26
0.04078,0.956,165.405,532.26
0.04086,0.956,165.405,532.26
0.04094,0.956,165.405,532.26
0.04102,0.956,164.795,532.26
0.04109,0.956,164.795,532.26
0.04117,0.956,164.185,532.26
0.04125,0.956,164.185,532.26
0.04133,0.956,163.574,532.26
0.04141,0.956,162.964,532.26
0.04148,0.955,162.354,532.26
0.04156,0.955,161.743,532.26
0.04164,0.955,161.743,532.26
0.04172,0.955,161.133,532.26
0.0418,0.955,161.133,532.26
0.04188,0.955,161.133,532.26
0.04195,0.955,160.523,532.26
0.04203,0.955,161.133,532.26
0.04211,0.955,161.133,532.26
0.04219,0.955,161.133,532.26
0.04227,0.955,161.133,532.26
0.04234,0.955,161.743,532.26
0.04242,0.955,161.743,532.26
0.0425,0.955,162.354,532.26
0.04258,0.955,162.354,532.26
0.04266,0.955,162.964,532.26
0.04273,0.955,162.964,532.26
0.04281,0.955,163.574,532.26
0.04289,0.955,163.574,532.26
0.04297,0.955,164.185,532.26
0.04305,0.955,164.185,532.26
0.04313,0.955,164.795,532.26
0.0432,0.955,164.795,532.26
0.04328,0.955,165.405,532.26
0.04336,0.955,165.405,532.26
0.04344,0.955,165.405,532.26
0.04352,0.955,165.405,532.26
0.04359,0.955,166.016,532.26
0.04367,0.955,166.016,532.26
0.04375,0.955,166.016,532.26
0.04383,0.955,166.016,532.26
0.04391,0.955,166.016,532.26
0.04398,0.955,166.016,532.26
0.04406,0.955,166.016,532.26
0.04414,0.955,165.405,532.26
0.04422,0.955,165.405,532.26
0.0443,0.955,164.795,532.26
0.04438,0.955,164.795,532.26
0.04445,0.955,164.185,532.26
0.04453,0.955,164.185,532.26
0.04461,0.955,163.574,532.26
0.04469,0.955,163.574,532.26
0.04477,0.955,162.964,532.26
0.04484,0.955,162.354,532.26
0.04492,0.955,161.743,532.26
0.045,0.955,161.743,532.26
0.04508,0.955,161.133,532.26
0.04516,0.955,161.133,532.26
0.04523,0.955,161.133,532.26
0.04531,0.955,161.133,532.26
0.04539,0.955,161.133,532.26
0.04547,0.955,161.133,532.26
0.04555,0.955,161.133,532.26
0.04563,0.955,161.743,532.26
0.0457,0.955,161.743,532.26
0.04578,0.956,161.743,532.26
0.04586,0.956,162.354,532.26
0.04594,0.956,162.354,532.26
0.04602,0.956,162.964,532.26
0.04609,0.956,162.964,532.26
0.04617,0.956,163.574,532.26
0.04625,0.956,163.574,532.26
0.04633,0.956,164.185,532.26
0.04641,0.956,164.185,532.26
0.04648,0.956,164.795,532.26
0.04656,0.956,164.795,532.26
0.04664,0.956,164.795,532.26
0.04672,0.956,165.405,532.26
0.0468,0.956,165.405,532.26
0.04688,0.956,165.405,532.26
0.04695,0.956,166.016,533.481
0.04703,0.956,166.016,532.26
0.04711,0.956,166.016,532.26
0.04719,0.956,166.016,532.26
0.04727,0.956,166.016,532.26
0.04734,0.956,166.016,532.26
0.04742,0.956,165.405,532.26
0.0475,0.956,165.405,533.481
0.04758,0.956,165.405,532.26
0.04766,0.956,164.795,532.26
0.04773,0.956,164.795,533.481
0.04781,0.956,164.185,532.26
0.04789,0.956,164.185,532.26
0.04797,0.956,163.574,532.26
0.04805,0.956,162.964,532.26
0.04813,0.956,162.354,532.26
0.0482,0.956,161.743,532.26
0.04828,0.956,161.743,532.26
0.04836,0.956,161.133,532.26
0.04844,0.956,161.133,532.26
0.04852,0.956,161.133,532.26
0.04859,0.956,160.523,532.26
0.04867,0.956,161.133,532.26
