t,UAB(V),delta,UAB
0.239375,95.474,0.95474,0.94997
0.24,95.472,0.95472,0.94995
0.240625,95.473,0.95473,0.94996
0.24125,95.473,0.95473,0.94996
0.241875,95.472,0.95472,0.94995
0.2425,95.471,0.95471,0.94994
0.243125,95.471,0.95471,0.94994
0.24375,95.473,0.95473,0.94996
0.244375,95.476,0.95476,0.94999
0.245,95.476,0.95476,0.94999
0.245625,95.476,0.95476,0.94999
0.24625,95.479,0.95479,0.95002
0.246875,95.479,0.95479,0.95002
0.2475,95.48,0.9548,0.95003
0.248125,95.479,0.95479,0.95002
0.24875,95.479,0.95479,0.95002
0.249375,95.478,0.95478,0.95001
0.25,95.477,0.95477,0.95
0.250625,95.475,0.95475,0.94998
0.25125,95.474,0.95474,0.94997
0.251875,95.472,0.95472,0.94995
0.2525,95.473,0.95473,0.94996
0.253125,95.473,0.95473,0.94996
0.25375,95.473,0.95473,0.94996
0.254375,95.473,0.95473,0.94996
0.255,95.473,0.95473,0.94996
0.255625,95.474,0.95474,0.94997
0.25625,95.474,0.95474,0.94997
0.256875,95.475,0.95475,0.94998
0.2575,95.475,0.95475,0.94998
0.258125,95.475,0.95475,0.94998
0.25875,95.474,0.95474,0.94997
0.259375,95.474,0.95474,0.94997
0.26,95.472,0.95472,0.94995
0.260625,95.472,0.95472,0.94995
0.26125,95.471,0.95471,0.94994
0.261875,95.47,0.9547,0.94993
0.2625,95.47,0.9547,0.94993
0.263125,95.471,0.95471,0.94994
0.26375,95.471,0.95471,0.94994
0.264375,95.471,0.95471,0.94994
0.265,95.474,0.95474,0.94997
0.265625,95.475,0.95475,0.94998
0.26625,95.476,0.95476,0.94999
0.266875,95.476,0.95476,0.94999
0.2675,95.477,0.95477,0.95
0.268125,95.478,0.95478,0.95001
0.26875,95.477,0.95477,0.95
0.269375,95.477,0.95477,0.95
0.27,95.476,0.95476,0.94999
0.270625,95.475,0.95475,0.94998
0.27125,95.475,0.95475,0.94998
0.271875,95.475,0.95475,0.94998
0.2725,95.477,0.95477,0.95
0.273125,95.477,0.95477,0.95
0.27375,95.479,0.95479,0.95002
0.274375,95.481,0.95481,0.95004
0.275,95.483,0.95483,0.95006
0.275625,95.485,0.95485,0.95008
0.27625,95.487,0.95487,0.9501
0.276875,95.487,0.95487,0.9501
0.2775,95.487,0.95487,0.9501
0.278125,95.487,0.95487,0.9501
0.27875,95.487,0.95487,0.9501
0.279375,95.486,0.95486,0.95009
0.28,95.485,0.95485,0.95008
0.280625,95.483,0.95483,0.95006
0.28125,95.48,0.9548,0.95003
0.281875,95.48,0.9548,0.95003
0.2825,95.479,0.95479,0.95002
0.283125,95.478,0.95478,0.95001
0.28375,95.48,0.9548,0.95003
0.284375,95.48,0.9548,0.95003
0.285,95.479,0.95479,0.95002
0.285625,95.481,0.95481,0.95004
0.28625,95.483,0.95483,0.95006
0.286875,95.483,0.95483,0.95006
0.2875,95.483,0.95483,0.95006
0.288125,95.483,0.95483,0.95006
0.28875,95.482,0.95482,0.95005
0.289375,95.481,0.95481,0.95004
0.29,95.479,0.95479,0.95002
0.290625,95.478,0.95478,0.95001
0.29125,95.476,0.95476,0.94999
0.291875,95.475,0.95475,0.94998
0.2925,95.472,0.95472,0.94995
0.293125,95.475,0.95475,0.94998
0.29375,95.476,0.95476,0.94999
0.294375,95.475,0.95475,0.94998
0.295,95.476,0.95476,0.94999
0.295625,95.477,0.95477,0.95
0.29625,95.478,0.95478,0.95001
0.296875,95.479,0.95479,0.95002
0.2975,95.48,0.9548,0.95003
0.298125,95.48,0.9548,0.95003
0.29875,95.478,0.95478,0.95001
0.299375,95.477,0.95477,0.95
0.3,95.477,0.95477,0.95
0.300625,95.476,0.95476,0.94999
0.30125,95.475,0.95475,0.94998
0.301875,95.472,0.95472,0.94995
0.3025,95.472,0.95472,0.94995
0.303125,95.473,0.95473,0.94996
0.30375,95.473,0.95473,0.94996
0.304375,95.473,0.95473,0.94996
0.305,95.477,0.95477,0.95
0.305625,95.477,0.95477,0.95
0.30625,95.477,0.95477,0.95
0.306875,95.479,0.95479,0.95002
0.3075,95.479,0.95479,0.95002
0.308125,95.479,0.95479,0.95002
0.30875,95.479,0.95479,0.95002
0.309375,95.478,0.95478,0.95001
0.31,95.478,0.95478,0.95001
0.310625,95.478,0.95478,0.95001
0.31125,95.477,0.95477,0.95
0.311875,95.477,0.95477,0.95
0.3125,95.478,0.95478,0.95001
0.313125,95.476,0.95476,0.94999
0.31375,95.476,0.95476,0.94999
0.314375,95.478,0.95478,0.95001
0.315,95.479,0.95479,0.95002
0.315625,95.48,0.9548,0.95003
0.31625,95.48,0.9548,0.95003
0.316875,95.48,0.9548,0.95003
0.3175,95.48,0.9548,0.95003
0.318125,95.48,0.9548,0.95003
