t,UAB
3.89,1.00055
3.895,1.00055
3.9,1.00055
3.905,1.00055
3.91,1.00055
3.915,1.00055
3.92,1.00055
3.925,1.00055
3.93,1.00055
3.935,1.00055
3.94,1.00055
3.945,1.00055
3.95,1.00065
3.955,1.00065
3.96,1.00065
3.965,1.00065
3.97,1.00065
3.975,1.00055
3.98,1.00055
3.985,1.00055
3.99,1.00055
3.995,1.00045
4,1.00045
4.005,1.00045
4.01,1.00045
4.015,1.00045
4.02,1.00045
4.025,1.00045
4.03,1.00045
4.035,1.00045
4.04,1.00055
4.045,1.00045
4.05,1.00055
4.055,1.00055
4.06,1.00055
4.065,1.00055
4.07,1.00055
4.075,1.00045
4.08,1.00045
4.085,1.00045
4.09,1.00045
4.095,1.00035
4.1,1.00035
4.105,1.00035
4.11,1.00025
4.115,1.00035
4.12,1.00025
4.125,1.00035
4.13,1.00035
4.135,1.00035
4.14,1.00035
4.145,1.00035
4.15,1.00045
4.155,1.00035
4.16,1.00045
4.165,1.00035
4.17,1.00035
4.175,1.00035
4.18,1.00035
4.185,1.00035
4.19,1.00035
4.195,1.00035
4.2,1.00025
4.205,1.00035
4.21,1.00025
4.215,1.00025
4.22,1.00015
4.225,1.00015
4.23,1.00015
4.235,1.00025
4.24,1.00025
4.245,1.00025
4.25,1.00035
4.255,1.00025
4.26,1.00025
4.265,1.00025
4.27,1.00025
4.275,1.00025
4.28,1.00025
4.285,1.00025
4.29,1.00025
4.295,1.00025
4.3,1.00025
4.305,1.00025
4.31,1.00015
4.315,1.00015
4.32,1.00005
4.325,1.00015
4.33,1.00005
4.335,1.00015
4.34,1.00015
4.345,1.00025
4.35,1.00025
4.355,1.00025
4.36,1.00025
4.365,1.00025
4.37,1.00025
4.375,1.00025
4.38,1.00025
4.385,1.00015
4.39,1.00015
4.395,1.00015
4.4,1.00005
4.405,1.00005
4.41,1.00005
4.415,1.00005
4.42,1.00005
4.425,1.00005
4.43,1.00005
4.435,1.00005
4.44,1.00005
4.445,1.00005
4.45,1.00015
4.455,1.00015
4.46,1.00015
4.465,1.00015
4.47,1.00015
4.475,1.00015
4.48,1.00015
4.485,1.00015
4.49,1.00005
4.495,1.00005
4.5,0.99995
4.505,1.00005
4.51,0.99995
4.515,1.00005
4.52,1.00005
4.525,1.00005
4.53,1.00005
4.535,1.00005
4.54,1.00005
4.545,1.00005
4.55,1.00015
4.555,1.00005
4.56,1.00015
4.565,1.00005
4.57,1.00005
4.575,1.00005
4.58,0.99995
4.585,1.00005
4.59,0.99995
4.595,0.99995
4.6,0.99995
4.605,0.99995
4.61,1.00005
4.615,0.99995
4.62,1.00005
4.625,0.99995
4.63,1.00005
4.635,1.00005
4.64,1.00005
4.645,1.00005
4.65,1.00005
4.655,0.99995
4.66,0.99995
4.665,0.99995
4.67,0.99985
4.675,0.99985
4.68,0.99975
4.685,0.99985
4.69,0.99975
4.695,0.99985
4.7,0.99985
4.705,0.99985
4.71,0.99985
4.715,0.99985
4.72,0.99985
4.725,0.99995
4.73,0.99995
4.735,0.99985
4.74,0.99995
4.745,0.99985
4.75,0.99985
4.755,0.99985
4.76,0.99985
4.765,0.99985
4.77,0.99985
4.775,0.99985
4.78,0.99985
4.785,0.99985
4.79,0.99975
4.795,0.99985
4.8,0.99985
4.805,0.99985
4.81,0.99995
4.815,0.99995
4.82,0.99995
4.825,0.99985
4.83,0.99995
4.835,0.99985
4.84,0.99985
4.845,0.99985
4.85,0.99985
4.855,0.99985
4.86,0.99985
4.865,0.99995
4.87,0.99985
4.875,0.99985
4.88,0.99985
4.885,0.99985
4.89,0.99995
4.895,0.99995
4.9,1.00005
4.905,0.99995
4.91,1.00005
4.915,0.99995
4.92,0.99995
4.925,0.99995
4.93,0.99995
4.935,0.99995
4.94,0.99995
4.945,0.99995
4.95,0.99995
4.955,1.00005
4.96,0.99995
4.965,1.00005
4.97,1.00005
4.975,1.00005
4.98,1.00005
4.985,1.00005
4.99,1.00005
4.995,1.00005
5,1.00005
5.005,0.99995
5.01,0.99995
5.015,0.99995
5.02,0.99995
5.025,0.99995
5.03,0.99985
5.035,0.99985
5.04,0.99985
5.045,0.99995
5.05,0.99985
5.055,0.99995
5.06,0.99995
5.065,0.99995
5.07,1.00005
5.075,0.99995
5.08,1.00005
5.085,0.99995
5.09,0.99995
5.095,0.99995
5.1,0.99985
5.105,0.99985
5.11,0.99985
5.115,0.99985
5.12,0.99985
5.125,0.99985
5.13,0.99985
5.135,0.99985
5.14,0.99995
5.145,0.99995
5.15,1.00005
5.155,0.99995
5.16,0.99995
5.165,0.99995
5.17,0.99995
5.175,0.99995
5.18,0.99985
5.185,0.99985
5.19,0.99985
5.195,0.99985
5.2,0.99985
5.205,0.99985
5.21,0.99985
5.215,0.99985
5.22,0.99985
5.225,0.99985
5.23,0.99995
5.235,0.99995
5.24,1.00005
5.245,0.99995
5.25,0.99995
5.255,0.99995
5.26,0.99985
5.265,0.99985
5.27,0.99975
5.275,0.99985
5.28,0.99975
5.285,0.99975
5.29,0.99985
5.295,0.99985
5.3,0.99985
5.305,0.99985
5.31,0.99995
5.315,0.99995
5.32,0.99995
5.325,0.99995
5.33,0.99995
5.335,0.99995
5.34,0.99995
5.345,0.99995
5.35,0.99985
5.355,0.99995
5.36,0.99985
5.365,0.99995
5.37,0.99995
5.375,0.99995
5.38,1.00005
5.385,0.99995
5.39,0.99995
5.395,0.99995
5.4,0.99995
5.405,0.99985
5.41,0.99995
5.415,0.99985
5.42,0.99985
5.425,0.99985
5.43,0.99985
5.435,0.99985
5.44,0.99975
5.445,0.99975
5.45,0.99975
5.455,0.99985
5.46,0.99985
5.465,0.99985
5.47,0.99995
5.475,0.99995
5.48,1.00005
5.485,0.99995
5.49,0.99995
5.495,0.99985
